---nodes---
earl|-9.08656,-2.70406,-4.11356
bruce|-11.3005,-4.77069,-9.87871
queen street|3.47978,13.3568,19.0601
coral|2.65928,13.7176,17.7526
mary|-10.1221,-2.77212,-7.95125
wool|-11.9609,0.0997694,-6.47567
cairns|-12.3642,-2.2833,-3.18963
kingaroy|-13.35,-1.37375,-1.89176
walker|-10.4536,-1.83719,-5.16713
ward|-9.81645,-2.48744,-4.9454
o'reilly|-9.92588,16.7581,-14.1499
mccabe|-10.5729,16.0815,-14.5555
davies|-10.7934,-1.10782,-7.11308
united states|-9.23885,-0.623766,-1.84053
owen|-9.41885,1.15343,-4.04488
smith|-10.2961,-1.32475,-5.43574
sheppard|7.42691,-5.29979,-2.76821
graziers|8.20665,-4.2638,-3.43925
expo|-9.02832,-4.58944,-4.26609
pollard|-10.0499,-5.35681,-3.29967
innisfail|-12.2018,-1.86195,-2.44175
hyland|-10.1029,-17.9653,-10.2016
willett|-10.5254,-17.2613,-9.62958
algeria|-9.59204,-8.86706,-1.71562
london|-9.66676,-2.21474,-3.95147
winn|-9.2701,-4.89048,-3.44209
western australia|-10.0148,-8.90993,-2.72836
cars|-10.2553,-0.3312,-7.13714
lawson|-10.5546,3.17794,-9.22526
hamilton|-11.0117,-2.16512,-4.82828
mount morgan|-10.8403,-0.332249,-4.70332
stead|-11.6823,-4.74608,-3.63485
hughes|-9.24121,-1.77159,-6.32562
lowe|-9.80044,-1.6168,-5.15229
commonwealth bank|25.5043,2.91112,2.83441
sovereign|24.9872,3.44016,3.55465
mining|-10.1821,-0.412586,-6.26068
papua|-11.0938,1.34193,-6.05233
shanghai|3.15384,-4.62453,21.2336
montreal|2.10221,-4.83613,21.384
fleming|-8.63119,-4.67246,-5.30364
fraser|-7.21594,-6.61212,-6.57905
william|-8.33905,-3.11532,-5.40557
wilkinson|7.37323,-5.53698,-4.28818
joseph lee|8.28498,-5.9261,-2.29629
badger|6.83588,-4.00395,-2.65411
carson|7.01097,-6.47278,-2.5461
